id,name,state,summit,vertical_drop,base,trams,fast_eights,fast_sixes,fast_quads,quad,triple,double,surface,total,runs,terrain_parks,longest_run,skiable_terrain,snow_making,days_open_last_year,projected_days_open,night_skiing,mi_night_skiing,mi_pistes,mi_snow_making,years_open,average_snowfall,url
39,Monarch Mountain,colorado,11952,1162,10790,0,0,0,0,1,0,4,2,7,64,2,1,800,0,143,136,0,,,,80,350,http://www.onthesnow.com/colorado/monarch-mountain/ski-resort.html
40,Powderhorn,colorado,9850,1650,8200,0,0,0,1,0,0,2,2,5,42,2,1.5,1600,42,111,110,0,,,,53,250,http://www.onthesnow.com/colorado/powderhorn/ski-resort.html
41,Silverton Mountain,colorado,13487,3087,10400,0,0,0,0,0,0,1,0,1,69,0,1.5,26819,0,175,181,0,,0.9,,17,400,http://www.onthesnow.com/colorado/silverton-mountain/ski-resort.html
42,Cooper,colorado,11700,1200,10500,0,0,0,0,0,1,1,2,4,41,1,1,400,0,130,130,0,,,,74,260,http://www.onthesnow.com/colorado/ski-cooper/ski-resort.html
43,Ski Granby Ranch,colorado,9202,1000,8202,0,0,0,2,0,1,1,1,5,40,1,0.6,406,170,116,92,1,100,,,36,220,http://www.onthesnow.com/colorado/ski-granby-ranch/ski-resort.html
44,Steamboat,colorado,10568,3668,6900,1,0,1,6,0,5,2,3,18,169,4,3,2965,375,145,145,1,30,,,56,336,http://www.onthesnow.com/colorado/steamboat/ski-resort.html
45,Sunlight Mountain Resort,colorado,9895,2010,7885,0,0,0,0,0,1,2,0,3,67,1,2.5,680,30,100,135,0,,,,53,250,http://www.onthesnow.com/colorado/sunlight-mountain-resort/ski-resort.html
46,Telluride,colorado,13150,4425,8725,2,0,0,6,1,2,2,4,17,148,3,4.6,2000,220,131,137,0,,,,47,280,http://www.onthesnow.com/colorado/telluride/ski-resort.html
47,Vail,colorado,11570,3450,8120,2,0,3,15,1,1,0,9,31,195,3,4,5289,461,149,142,0,,,,57,354,http://www.onthesnow.com/colorado/vail/ski-resort.html
48,Winter Park Resort,colorado,12060,3060,9000,1,0,2,7,0,4,6,5,25,166,7,4.9,3081,313,158,151,0,,,,79,360,http://www.onthesnow.com/colorado/winter-park-resort/ski-resort.html
49,Wolf Creek Ski Area,colorado,11904,1604,10300,0,0,0,3,1,2,1,3,10,120,0,2,1600,5,130,150,0,,,,80,430,http://www.onthesnow.com/colorado/wolf-creek-ski-area/ski-resort.html
50,Mohawk Mountain,connecticut,1600,650,950,0,0,0,0,0,5,0,3,8,25,0,1.5,107,100,,110,1,64,,,72,92,http://www.onthesnow.com/connecticut/mohawk-mountain/ski-resort.html
51,Mount Southington Ski Area,connecticut,525,425,100,0,0,0,0,0,2,2,3,7,14,2,0.3,51,51,63,95,1,51,,,55,80,http://www.onthesnow.com/connecticut/mount-southington-ski-area/ski-resort.html
52,Powder Ridge Park,connecticut,720,550,170,0,0,0,0,0,1,2,2,5,19,4,0.5,80,68,80,100,1,40,,,60,80,http://www.onthesnow.com/connecticut/powder-ridge-park/ski-resort.html
53,Ski Sundown,connecticut,1075,625,450,0,0,0,0,0,3,0,2,5,16,2,1,70,70,84,95,1,66,,,50,45,http://www.onthesnow.com/connecticut/ski-sundown/ski-resort.html
54,Woodbury Ski Area,connecticut,730,300,430,0,0,0,0,0,0,1,4,5,12,2,0.2,50,50,126,180,1,35,,,57,70,http://www.onthesnow.com/connecticut/woodbury-ski-area/ski-resort.html
55,Bogus Basin,idaho,7582,1800,5800,0,0,0,3,0,1,3,4,11,91,3,1.5,2600,0,134,130,1,165,,,77,250,http://www.onthesnow.com/idaho/bogus-basin/ski-resort.html
56,Brundage Mountain Resort,idaho,7640,1800,5840,0,0,0,1,0,4,0,1,6,51,2,3.2,1920,2,126,,0,,,,58,320,http://www.onthesnow.com/idaho/brundage-mountain-resort/ski-resort.html
57,Kelly Canyon Ski Area,idaho,6600,1000,5600,0,0,0,0,0,0,4,2,6,51,1,1.3,740,0,118,92,0,,,,62,200,http://www.onthesnow.com/idaho/kelly-canyon-ski-area/ski-resort.html
58,Lookout Pass Ski Area,idaho,5650,1150,4500,0,0,0,0,0,1,3,0,4,35,2,1.5,540,0,113,140,0,,,,84,400,http://www.onthesnow.com/idaho/lookout-pass-ski-area/ski-resort.html
59,Magic Mountain Ski Area,idaho,7200,700,6500,0,0,0,0,0,0,1,2,3,11,0,1.5,280,0,65,70,0,,,,81,180,http://www.onthesnow.com/idaho/magic-mountain-ski-area/ski-resort.html
60,Pebble Creek Ski Area,idaho,8560,2200,6360,0,0,0,0,0,3,0,0,3,54,2,1.3,1100,30,85,91,1,30,2.7,,70,250,http://www.onthesnow.com/idaho/pebble-creek-ski-area/ski-resort.html
61,Pomerelle Mountain Resort,idaho,9000,1000,8000,0,0,0,0,0,1,1,1,3,24,2,1.5,500,50,138,138,1,100,,,56,500,http://www.onthesnow.com/idaho/pomerelle-mountain-resort/ski-resort.html
62,Schweitzer,idaho,6400,2400,4000,0,0,1,2,0,1,3,2,9,92,3,2.1,2900,47,136,,1,100,,,56,300,http://www.onthesnow.com/idaho/schweitzer/ski-resort.html
63,Silver Mountain,idaho,6300,2200,4100,1,0,0,0,1,2,2,1,7,80,2,2.5,1600,225,130,193,1,20,,,29,300,http://www.onthesnow.com/idaho/silver-mountain/ski-resort.html
64,Soldier Mountain Ski Area,idaho,7200,1400,5800,0,0,0,0,0,0,2,1,3,36,0,0.4,1142,0,60,,0,,,,71,,http://www.onthesnow.com/idaho/soldier-mountain-ski-area/ski-resort.html
65,Sun Valley,idaho,9150,3400,5750,1,0,0,9,0,3,2,3,18,120,7,3,2054,645,149,137,0,,,,83,220,http://www.onthesnow.com/idaho/sun-valley/ski-resort.html
66,Tamarack Resort,idaho,7700,2800,4900,0,0,0,2,2,0,0,2,6,48,3,1.5,1020,200,,150,0,,,,15,300,http://www.onthesnow.com/idaho/tamarack-resort/ski-resort.html
67,Chestnut Mountain Resort,illinois,1040,475,565,0,0,0,0,2,4,0,3,9,22,3,0.2,139,139,87,112,1,139,,,60,50,http://www.onthesnow.com/illinois/chestnut-mountain-resort/ski-resort.html
68,Four Lakes,illinois,500,100,400,0,0,0,0,0,0,0,7,7,7,1,0.1,9,9,78,70,1,9,,,58,24,http://www.onthesnow.com/illinois/four-lakes/ski-resort.html
69,Ski Snowstar Winter Sports Park,illinois,790,262,528,0,0,0,0,2,0,2,2,6,15,1,0.8,28,28,56,86,1,28,,,38,38,http://www.onthesnow.com/illinois/ski-snowstar-winter-sports-park/ski-resort.html
70,Villa Olivia,illinois,500,180,320,0,0,0,0,1,0,0,6,7,7,1,0.1,15,15,,70,1,15,,,53,25,http://www.onthesnow.com/illinois/villa-olivia/ski-resort.html
71,Paoli Peaks,indiana,900,300,600,0,0,0,1,1,3,1,2,8,15,2,0.4,65,65,75,80,1,65,,,41,18,http://www.onthesnow.com/indiana/paoli-peaks/ski-resort.html
