id,name,state,summit,vertical_drop,base,trams,fast_eights,fast_sixes,fast_quads,quad,triple,double,surface,total,runs,terrain_parks,longest_run,skiable_terrain,snow_making,days_open_last_year,projected_days_open,night_skiing,mi_night_skiing,mi_pistes,mi_snow_making,years_open,average_snowfall,url
128,Buck Hill,minnesota,1225,309,919,0,0,0,0,2,1,0,5,8,16,0,0.2,45,45,115,112,1,45,,,65,60,http://www.onthesnow.com/minnesota/buck-hill/ski-resort.html
129,Buena Vista Ski Area,minnesota,1510,230,1280,0,0,0,0,0,2,2,2,6,17,0,0.3,30,30,57,60,1,30,,,70,78,http://www.onthesnow.com/minnesota/buena-vista-ski-area/ski-resort.html
130,Coffee Mill Ski & Snowboard Resort,minnesota,1150,425,725,0,0,0,0,0,0,2,1,3,14,1,1,40,35,57,56,1,35,,,39,48,http://www.onthesnow.com/minnesota/coffee-mill-ski-snowboard-resort/ski-resort.html
131,Elm Creek Winter Recreation Area,minnesota,928,60,868,0,0,0,0,0,0,0,3,3,3,0,1,15,20,105,102,1,15,,,13,45,http://www.onthesnow.com/minnesota/elm-creek/ski-resort.html
132,Giants Ridge Resort,minnesota,1972,500,1472,0,0,0,1,1,1,2,2,7,35,2,0.8,202,202,120,125,1,121,,,35,85,http://www.onthesnow.com/minnesota/giants-ridge-resort/ski-resort.html
133,Hyland Ski & Snowboard Area,minnesota,1075,175,900,0,0,0,0,2,1,0,5,8,14,1,1,35,35,110,115,1,35,,,61,55,http://www.onthesnow.com/minnesota/hyland-ski-snowboard-area/ski-resort.html
134,Lutsen Mountains,minnesota,1688,825,800,1,0,1,0,0,1,4,1,8,62,2,2,393,231,135,127,0,,,,71,120,http://www.onthesnow.com/minnesota/lutsen-mountains/ski-resort.html
135,Mount Kato Ski Area,minnesota,540,240,300,0,0,0,0,5,0,3,2,10,19,4,1,55,55,115,120,1,50,,,43,50,http://www.onthesnow.com/minnesota/mount-kato-ski-area/ski-resort.html
136,Powder Ridge Ski Area,minnesota,790,300,500,0,0,0,0,1,0,2,3,6,15,4,,60,60,97,113,1,60,,,58,45,http://www.onthesnow.com/minnesota/powder-ridge-ski-area/ski-resort.html
137,Spirit Mountain,minnesota,1320,700,620,0,0,0,1,1,2,1,2,7,22,3,1,175,175,100,125,1,144,,,45,100,http://www.onthesnow.com/minnesota/spirit-mountain/ski-resort.html
138,Welch Village,minnesota,1060,360,700,0,0,0,0,3,1,4,2,10,50,1,0.8,125,125,114,122,1,100,,,54,45,http://www.onthesnow.com/minnesota/welch-village/ski-resort.html
139,Wild Mountain Ski & Snowboard Area,minnesota,1113,300,813,0,0,0,0,4,0,0,4,8,26,4,0.9,100,100,130,140,1,100,,,47,50,http://www.onthesnow.com/minnesota/wild-mountain-ski-snowboard-area/ski-resort.html
140,Hidden Valley Ski Area,missouri,2566,310,2316,0,0,0,0,2,2,0,3,7,17,0,0.1,30,30,,100,1,17,,,37,26,http://www.onthesnow.com/missouri/hidden-valley-ski-area/ski-resort.html
141,Snow Creek,missouri,1100,300,800,0,0,0,0,0,2,1,2,5,14,2,0.3,30,30,69,85,1,30,0.4,0.1,33,20,http://www.onthesnow.com/missouri/snow-creek/ski-resort.html
142,Big Sky Resort,montana,11166,4350,7500,1,1,2,5,3,7,5,12,36,317,8,6,5800,400,144,144,0,,,,46,400,http://www.onthesnow.com/montana/big-sky-resort/ski-resort.html
143,Blacktail Mountain Ski Area,montana,6676,1440,5236,0,0,0,0,0,1,2,1,4,27,0,0.7,1000,0,,119,0,,,,21,250,http://www.onthesnow.com/montana/blacktail-mountain-ski-area/ski-resort.html
144,Bridger Bowl,montana,8700,2600,6100,0,0,0,0,1,6,1,3,11,105,2,1.5,2000,100,122,133,0,,,,64,350,http://www.onthesnow.com/montana/bridger-bowl/ski-resort.html
145,Discovery Ski Area,montana,8150,2380,5770,0,0,0,0,0,5,2,1,8,74,1,1.5,2400,25,116,116,0,,,,46,225,http://www.onthesnow.com/montana/discovery-ski-area/ski-resort.html
146,Great Divide,montana,7330,1580,5750,0,0,0,0,0,0,5,1,6,110,6,3,1600,150,94,100,1,100,,3.7,78,180,http://www.onthesnow.com/montana/great-divide/ski-resort.html
147,Lost Trail - Powder Mtn,montana,8200,1800,6400,0,0,0,0,0,0,5,3,8,69,2,2.5,1800,0,84,80,0,,,,81,325,http://www.onthesnow.com/montana/lost-trail-powder-mtn/ski-resort.html
148,Maverick Mountain,montana,8520,2020,6500,0,0,0,0,0,0,1,1,2,22,0,1.3,255,0,,120,0,,,,83,160,http://www.onthesnow.com/montana/maverick-mountain/ski-resort.html
149,Montana Snowbowl,montana,7600,2600,5000,0,0,0,0,0,0,2,2,4,37,0,1.2,950,20,,127,1,10,,,58,300,http://www.onthesnow.com/montana/montana-snowbowl/ski-resort.html
150,Red Lodge Mountain,montana,9416,2400,7016,0,0,0,2,0,1,3,1,7,70,2,2.5,1635,496,142,136,0,,,,59,250,http://www.onthesnow.com/montana/red-lodge-mountain/ski-resort.html
151,Showdown Montana,montana,8200,1400,6800,0,0,0,0,0,1,2,1,4,36,1,1.8,640,0,86,85,0,,,,83,250,http://www.onthesnow.com/montana/showdown-ski-area/ski-resort.html
152,Teton Pass Ski Resort,montana,7200,1010,6190,0,0,0,0,0,0,1,2,3,43,1,3,330,0,40,150,0,,,,54,250,http://www.onthesnow.com/montana/teton-pass-ski-area/ski-resort.html
153,Whitefish Mountain Resort,montana,6817,2353,4464,0,0,0,3,2,6,0,3,14,105,4,3.3,3000,600,123,123,1,600,,,72,333,http://www.onthesnow.com/montana/whitefish-mountain-resort/ski-resort.html
154,Diamond Peak,nevada,8540,1840,6700,0,0,0,1,2,0,3,1,7,30,3,2.5,655,492,100,122,0,,,,53,300,http://www.onthesnow.com/nevada/diamond-peak/ski-resort.html
155,Elko SnoBowl,nevada,7000,700,6300,0,0,0,0,0,0,1,1,2,10,0,1,60,2,19,30,0,,,,23,24,http://www.onthesnow.com/nevada/elko-snobowl/ski-resort.html
156,Lee Canyon,nevada,11289,860,8510,0,0,0,0,2,1,0,0,3,24,1,0.3,195,50,144,150,0,,,,56,161,http://www.onthesnow.com/nevada/las-vegas-ski-and-snowboard-resort/ski-resort.html
157,Mt. Rose - Ski Tahoe,nevada,9700,1800,8260,0,0,2,0,2,2,0,2,8,65,5,2.5,1200,330,152,150,0,,,,55,350,http://www.onthesnow.com/nevada/mt-rose-ski-tahoe/ski-resort.html
158,Attitash,new_hampshire,2350,1750,600,0,0,0,2,1,3,2,1,9,68,3,3,311,240,115,130,0,,,,54,120,http://www.onthesnow.com/new-hampshire/attitash/ski-resort.html
159,Black Mountain,new_hampshire,2350,1100,1250,0,0,0,0,0,1,1,3,5,45,0,1.6,143,120,110,107,0,,,,84,125,http://www.onthesnow.com/new-hampshire/black-mountain/ski-resort.html
160,Bretton Woods,new_hampshire,3100,1500,1600,0,0,0,4,1,1,0,3,9,63,2,2,464,427,180,180,1,45,,,46,200,http://www.onthesnow.com/new-hampshire/bretton-woods/ski-resort.html
161,Cannon Mountain,new_hampshire,4080,2180,1900,1,0,0,1,2,3,1,3,11,97,3,2.3,285,192,124,143,0,,,,81,160,http://www.onthesnow.com/new-hampshire/cannon-mountain/ski-resort.html
162,Cranmore Mountain Resort,new_hampshire,2000,1200,600,0,0,0,1,1,2,1,2,7,57,4,1,200,192,107,128,0,,,,82,150,http://www.onthesnow.com/new-hampshire/cranmore-mountain-resort/ski-resort.html
163,Crotched Mountain,new_hampshire,2066,1016,1050,0,0,0,1,1,1,1,1,5,25,3,1.2,100,100,105,100,1,100,,,16,105,http://www.onthesnow.com/new-hampshire/crotched-mountain/ski-resort.html
164,Dartmouth Skiway,new_hampshire,1943,969,974,0,0,0,0,1,0,1,2,4,28,1,1.1,107,54,104,105,0,,,,63,100,http://www.onthesnow.com/new-hampshire/dartmouth-skiway/ski-resort.html
165,Gunstock,new_hampshire,2300,1400,900,0,0,0,1,2,2,0,1,6,55,4,1.5,227,176,106,,1,60,,,82,120,http://www.onthesnow.com/new-hampshire/gunstock/ski-resort.html
166,King Pine,new_hampshire,850,350,500,0,0,0,0,0,3,0,3,6,17,2,0.3,48,45,105,107,1,23,,,57,120,http://www.onthesnow.com/new-hampshire/king-pine/ski-resort.html
167,Loon Mountain,new_hampshire,3050,2100,950,1,0,0,3,1,1,3,2,11,61,6,2.5,370,322,149,144,0,,,,53,160,http://www.onthesnow.com/new-hampshire/loon-mountain/ski-resort.html
168,Mount Sunapee,new_hampshire,2743,1510,1233,0,0,0,2,1,2,1,4,10,66,4,0.8,232,215,130,136,0,,,,71,100,http://www.onthesnow.com/new-hampshire/mount-sunapee/ski-resort.html
169,Pats Peak,new_hampshire,1460,770,690,0,0,0,0,0,4,2,5,11,28,3,1.5,115,115,109,112,1,93,,,56,100,http://www.onthesnow.com/new-hampshire/pats-peak/ski-resort.html
170,Ragged Mountain Resort,new_hampshire,2250,1250,1000,0,0,1,1,0,1,0,3,6,57,3,0.7,250,200,,140,0,,,,54,100,http://www.onthesnow.com/new-hampshire/ragged-mountain-resort/ski-resort.html
171,Waterville Valley,new_hampshire,4004,2020,1984,0,0,0,2,0,2,3,4,11,62,4,1.9,265,220,142,142,0,,,,54,148,http://www.onthesnow.com/new-hampshire/waterville-valley/ski-resort.html
172,Whaleback Mountain,new_hampshire,1800,700,1100,0,0,0,0,0,0,1,3,4,30,1,1,85,60,105,105,1,55,,,64,110,http://www.onthesnow.com/new-hampshire/whaleback-mountain/ski-resort.html
173,Wildcat Mountain,new_hampshire,4062,2112,1950,0,0,0,1,0,3,0,1,5,48,0,2.8,225,200,156,150,0,,,,61,200,http://www.onthesnow.com/new-hampshire/wildcat-mountain/ski-resort.html
174,Campgaw Mountain,new_jersey,726,274,450,0,0,0,0,0,0,2,3,5,12,1,0.3,23,23,80,,1,14,,,58,45,http://www.onthesnow.com/new-jersey/campgaw-mountain/ski-resort.html
175,Mountain Creek Resort,new_jersey,1480,1040,440,1,0,0,2,2,1,1,3,10,46,3,2,167,167,90,100,1,167,,,54,65,http://www.onthesnow.com/new-jersey/mountain-creek-resort/ski-resort.html
176,Angel Fire Resort,new_mexico,10677,2077,8600,0,0,0,2,0,0,3,2,7,81,3,3,560,230,101,101,1,50,,,53,210,http://www.onthesnow.com/new-mexico/angel-fire-resort/ski-resort.html
177,Enchanted Forest Ski Area,new_mexico,10078,400,9820,0,0,0,0,0,0,0,0,0,33,0,2.5,600,0,130,140,0,,,,34,240,http://www.onthesnow.com/new-mexico/enchanted-forest-cross-countryski-area/ski-resort.html
178,Pajarito Mountain Ski Area,new_mexico,10441,1410,9031,0,0,0,0,1,1,3,1,6,45,2,0.6,750,35,89,117,0,,,,62,163,http://www.onthesnow.com/new-mexico/pajarito-mountain-ski-area/ski-resort.html
179,Red River,new_mexico,10350,1600,8750,0,0,0,0,1,3,1,2,7,63,3,2.5,209,0,110,,0,,,,60,214,http://www.onthesnow.com/new-mexico/red-river/ski-resort.html
180,Sandia Peak,new_mexico,10378,1700,8678,0,0,0,0,0,0,4,1,5,39,1,2,200,30,32,38,0,,,,82,100,http://www.onthesnow.com/new-mexico/sandia-peak/ski-resort.html
181,Sipapu Ski Resort,new_mexico,9255,1055,8200,0,0,0,0,1,2,0,3,6,42,4,0.5,200,140,127,143,0,,,,67,190,http://www.onthesnow.com/new-mexico/sipapu-ski-and-summer-resort/ski-resort.html
182,Ski Apache,new_mexico,11500,1900,9600,1,0,0,0,2,6,0,2,11,55,3,2,750,270,133,124,0,,,,58,185,http://www.onthesnow.com/new-mexico/ski-apache/ski-resort.html
183,Ski Santa Fe,new_mexico,12075,1725,10350,0,0,0,0,1,2,2,2,7,83,1,3,660,275,107,130,0,,,,73,225,http://www.onthesnow.com/new-mexico/ski-santa-fe/ski-resort.html
184,Taos Ski Valley,new_mexico,12481,3281,9200,1,0,0,1,3,4,1,4,14,111,1,5,1294,647,137,136,0,,,13,64,300,http://www.onthesnow.com/new-mexico/taos-ski-valley/ski-resort.html
185,Belleayre,new_york,3429,1404,2025,1,0,0,1,1,1,2,2,8,50,2,2.2,175,168,154,150,0,,,,70,130,http://www.onthesnow.com/new-york/belleayre/ski-resort.html
186,Brantling Ski Slopes,new_york,850,250,600,0,0,0,0,0,0,0,5,5,10,0,0.1,20,16,,101,0,,,,19,110,http://www.onthesnow.com/new-york/brantling-ski-slopes/ski-resort.html
187,Bristol Mountain,new_york,2200,1200,1000,0,0,0,2,1,1,1,1,6,34,3,2,160,148,129,129,1,154,,,55,60,http://www.onthesnow.com/new-york/bristol-mountain/ski-resort.html
188,Buffalo Ski Club Ski Area,new_york,3429,500,2025,0,0,0,0,0,0,2,4,6,43,1,,225,150,,79,1,100,,,12,,http://www.onthesnow.com/new-york/buffalo-ski-club-ski-area/ski-resort.html
189,Catamount,new_york,2000,1000,1000,0,0,0,0,1,1,2,3,7,36,5,2,133,130,100,90,1,55,,8.7,80,108,http://www.onthesnow.com/new-york/catamount-ski-ride-area/ski-resort.html
190,Dry Hill Ski Area,new_york,950,300,650,0,0,0,0,0,0,1,2,3,7,1,0.2,35,26,,108,1,26,,,55,125,http://www.onthesnow.com/new-york/dry-hill-ski-area/ski-resort.html
191,Gore Mountain,new_york,3600,2537,998,1,0,0,2,2,3,2,4,14,110,7,4.5,439,338,142,,1,15,41.3,29.8,55,150,http://www.onthesnow.com/new-york/gore-mountain/ski-resort.html
192,Greek Peak,new_york,2100,952,1148,0,0,0,0,1,1,4,2,8,56,4,1.5,220,184,110,113,1,175,,,62,122,http://www.onthesnow.com/new-york/greek-peak/ski-resort.html
193,Holiday Mountain,new_york,1550,400,1150,0,0,0,0,1,0,1,2,4,9,0,0.4,37,37,75,85,1,37,,,60,50,http://www.onthesnow.com/new-york/holiday-mountain/ski-resort.html
194,Holiday Valley,new_york,2250,750,1500,0,0,0,3,8,0,0,2,13,60,5,1,290,266,116,129,1,189,,,62,180,http://www.onthesnow.com/new-york/holiday-valley/ski-resort.html
195,Holimont Ski Area,new_york,2260,700,1560,0,0,0,1,1,2,3,1,8,53,3,1.5,135,135,110,119,0,,,,57,180,http://www.onthesnow.com/new-york/holimont-ski-area/ski-resort.html
196,Hunt Hollow Ski Club,new_york,2030,825,1000,0,0,0,0,0,1,1,1,3,19,1,1,400,400,,75,1,400,,,52,130,http://www.onthesnow.com/new-york/hunt-hollow-ski-club/ski-resort.html
197,Hunter Mountain,new_york,3200,1600,1600,0,0,2,1,2,2,2,4,13,67,4,2,320,320,148,155,0,,,,59,120,http://www.onthesnow.com/new-york/hunter-mountain/ski-resort.html
198,Kissing Bridge,new_york,1700,550,1150,0,0,0,0,2,1,4,3,10,39,5,0.5,700,550,103,100,1,650,,,59,120,http://www.onthesnow.com/new-york/kissing-bridge/ski-resort.html
199,Labrador Mt.,new_york,1825,700,1125,0,0,0,0,0,1,2,1,4,23,1,1,250,237,,100,1,180,,,62,125,http://www.onthesnow.com/new-york/labrador-mt/ski-resort.html
200,Maple Ski Ridge,new_york,1200,450,750,0,0,0,0,0,1,1,1,3,10,0,0.3,25,25,,69,1,20,,,57,,http://www.onthesnow.com/new-york/maple-ski-ridge/ski-resort.html
201,McCauley Mountain Ski Center,new_york,2250,633,1563,0,0,0,0,0,0,1,4,5,23,1,0.3,70,55,105,105,0,,,,61,200,http://www.onthesnow.com/new-york/mccauley-mountain-ski-center/ski-resort.html
202,Mount Peter Ski Area,new_york,1250,450,750,0,0,0,0,1,0,2,2,5,14,1,1,69,69,100,100,1,69,,,83,50,http://www.onthesnow.com/new-york/mount-peter-ski-area/ski-resort.html
203,Oak Mountain,new_york,2400,650,1750,0,0,0,0,1,0,0,3,4,22,1,1.2,46,18,,106,1,12,,,71,120,http://www.onthesnow.com/new-york/oak-mountain/ski-resort.html
204,Peek'n Peak,new_york,1800,400,1400,0,0,0,0,0,8,0,2,10,27,4,2.4,110,110,110,,1,110,,,55,225,http://www.onthesnow.com/new-york/peekn-peak/ski-resort.html
205,Plattekill Mountain,new_york,3500,1100,2400,0,0,0,0,0,1,1,2,4,38,1,2,110,75,65,65,0,,1.2,,26,175,http://www.onthesnow.com/new-york/plattekill-mountain/ski-resort.html
206,Royal Mountain Ski Area,new_york,1800,550,1250,0,0,0,0,0,0,3,0,3,14,0,0.3,35,28,,127,0,,,,63,90,http://www.onthesnow.com/new-york/royal-mountain-ski-area/ski-resort.html
207,Snow Ridge,new_york,2000,650,1350,0,0,0,0,0,0,4,2,6,21,2,0.8,130,65,73,100,1,40,,,74,230,http://www.onthesnow.com/new-york/snow-ridge/ski-resort.html
208,Song Mountain,new_york,1940,700,1240,0,0,0,0,0,1,1,3,5,24,0,0.4,93,70,90,122,1,70,,,55,125,http://www.onthesnow.com/new-york/song-mountain/ski-resort.html
209,Swain,new_york,1970,650,1320,0,0,0,0,3,0,1,1,5,35,3,1,130,90,102,100,1,80,,,72,120,http://www.onthesnow.com/new-york/swain/ski-resort.html
210,Thunder Ridge,new_york,1270,500,770,0,0,0,0,0,1,2,3,6,30,0,0.4,100,100,121,121,1,100,,,60,,http://www.onthesnow.com/new-york/thunder-ridge/ski-resort.html
211,Titus Mountain,new_york,2025,1200,825,0,0,0,0,0,2,6,2,10,50,3,2,200,150,101,100,1,70,,11.2,59,150,http://www.onthesnow.com/new-york/titus-mountain/ski-resort.html
212,Toggenburg Mountain,new_york,2000,700,1300,0,0,0,0,0,1,1,3,5,22,2,0.4,85,0,,122,1,73,,,66,130,http://www.onthesnow.com/new-york/toggenburg-mountain/ski-resort.html
213,West Mountain,new_york,1470,1010,460,0,0,0,0,0,1,2,2,5,29,1,0.6,124,105,,120,1,105,,,58,80,http://www.onthesnow.com/new-york/west-mountain/ski-resort.html
214,Whiteface Mountain Resort,new_york,4650,3430,1220,1,0,0,1,1,2,5,2,12,86,5,2.1,288,220,122,141,0,,,,61,168,http://www.onthesnow.com/new-york/whiteface-mountain-resort/ski-resort.html
215,Willard Mountain,new_york,1415,505,910,0,0,0,0,0,0,2,3,5,16,0,0.4,50,35,85,120,1,35,,,19,80,http://www.onthesnow.com/new-york/willard-mountain/ski-resort.html
216,Windham Mountain,new_york,3100,1600,1500,0,0,1,2,0,3,1,5,12,54,6,2,285,280,123,130,1,56,12,,59,105,http://www.onthesnow.com/new-york/windham-mountain/ski-resort.html
217,Woods Valley Ski Area,new_york,1400,500,900,0,0,0,0,0,0,2,4,6,21,0,0.3,25,16,,128,1,15,,,55,180,http://www.onthesnow.com/new-york/woods-valley-ski-area/ski-resort.html
218,Appalachian Ski Mountain,north_carolina,4000,365,3635,0,0,0,0,2,0,1,2,5,12,3,0.5,27,27,100,100,1,27,,,57,50,http://www.onthesnow.com/north-carolina/appalachian-ski-mtn/ski-resort.html
219,Cataloochee Ski Area,north_carolina,5400,740,4660,0,0,0,0,1,1,1,2,5,18,2,1,50,50,141,108,1,50,,0.6,58,50,http://www.onthesnow.com/north-carolina/cataloochee-ski-area/ski-resort.html
220,Sapphire Valley,north_carolina,3450,200,3200,0,0,0,0,1,0,0,2,3,2,1,1,8,8,53,60,1,8,0.4,,55,24,http://www.onthesnow.com/north-carolina/sapphire-valley/ski-resort.html
221,Beech Mountain Resort,north_carolina,5506,830,4675,0,0,0,0,3,0,3,2,8,17,1,1,95,95,98,,1,95,,,52,31,http://www.onthesnow.com/north-carolina/ski-beech-mountain-resort/ski-resort.html
222,Sugar Mountain Resort,north_carolina,5300,1200,4100,0,0,1,0,0,1,4,2,8,21,1,1.5,125,125,114,120,1,95,,,50,77,http://www.onthesnow.com/north-carolina/sugar-mountain-resort/ski-resort.html
223,Wolf Ridge Ski Resort,north_carolina,4700,720,4000,0,0,0,0,1,0,1,2,4,15,1,0.6,65,65,,100,1,60,,,49,65,http://www.onthesnow.com/north-carolina/wolf-ridge-ski-resort/ski-resort.html
224,Alpine Valley,ohio,1500,230,1260,0,0,0,0,1,2,1,1,5,11,1,0.2,72,72,105,,1,72,,,53,120,http://www.onthesnow.com/ohio/alpine-valley/ski-resort.html
225,Boston Mills,ohio,871,264,631,0,0,0,0,0,4,2,2,8,7,2,0.3,40,40,92,110,1,40,,,56,51,http://www.onthesnow.com/ohio/boston-mills/ski-resort.html
226,Brandywine,ohio,871,240,631,0,0,0,0,2,7,2,5,16,11,2,0.3,85,85,92,110,1,85,,,56,51,http://www.onthesnow.com/ohio/brandywine/ski-resort.html
227,Mad River Mountain,ohio,1460,300,1160,0,0,0,0,1,2,3,6,12,20,4,0.5,144,144,99,90,1,144,,,57,36,http://www.onthesnow.com/ohio/mad-river-mountain/ski-resort.html
228,Snow Trails,ohio,1475,301,1174,0,0,0,0,0,4,2,3,9,17,3,0.2,80,80,101,70,1,80,,,58,50,http://www.onthesnow.com/ohio/snow-trails/ski-resort.html
229,Anthony Lakes Mountain Resort,oregon,8000,900,7100,0,0,0,0,0,1,0,2,3,21,2,1.5,1100,0,75,80,0,,,,56,300,http://www.onthesnow.com/oregon/anthony-lakes-mountain-resort/ski-resort.html
230,Cooper Spur,oregon,4000,350,3500,0,0,0,0,0,0,1,1,2,10,0,0.1,50,0,78,90,0,,,,66,100,http://www.onthesnow.com/oregon/cooper-spur/ski-resort.html
231,Hoodoo Ski Area,oregon,5703,1035,4668,0,0,0,0,3,1,1,0,5,34,0,0.4,806,0,80,108,1,200,,,81,350,http://www.onthesnow.com/oregon/hoodoo-ski-area/ski-resort.html
232,Mt. Ashland,oregon,7533,1150,6383,0,0,0,0,0,2,2,1,5,23,2,1,220,0,94,92,1,40,,,55,300,http://www.onthesnow.com/oregon/mount-ashland/ski-resort.html
233,Mt. Bachelor,oregon,9065,3365,5700,0,0,0,8,0,3,0,0,11,101,5,4,4318,20,185,185,0,,,2.5,61,462,http://www.onthesnow.com/oregon/mt-bachelor/ski-resort.html
234,Mt. Hood Meadows,oregon,7300,2777,4523,0,0,0,6,0,0,5,2,13,85,6,3,2150,0,118,160,1,170,,,51,430,http://www.onthesnow.com/oregon/mt-hood-meadows/ski-resort.html
235,Mt. Hood Skibowl,oregon,5100,1500,3600,0,0,0,0,0,0,4,5,9,65,2,3,960,29,125,144,1,317,,,82,300,http://www.onthesnow.com/oregon/mt-hood-ski-bowl/ski-resort.html
236,Spout Springs,oregon,5500,610,4850,0,0,0,0,0,0,2,2,4,14,0,0.1,200,0,117,125,1,100,,,19,118,http://www.onthesnow.com/oregon/spout-springs/ski-resort.html
237,Timberline Lodge,oregon,8540,3690,6000,0,0,0,5,0,1,1,1,8,41,5,2,1415,0,305,305,1,300,,,82,550,http://www.onthesnow.com/oregon/timberline-lodge/ski-resort.html
238,Willamette Pass,oregon,6683,1563,5120,0,0,1,0,0,3,0,1,5,29,0,2.1,555,60,3,100,0,,,,78,430,http://www.onthesnow.com/oregon/willamette-pass/ski-resort.html
239,Bear Creek Mountain Resort,pennsylvania,1100,510,600,0,0,0,0,3,1,0,2,6,23,3,1,86,86,91,90,1,86,,,52,30,http://www.onthesnow.com/pennsylvania/bear-creek-mountain-resort/ski-resort.html
240,Ski Big Bear,pennsylvania,1250,650,600,0,0,0,0,0,0,4,2,6,18,1,1.5,26,26,75,75,1,26,,,43,69,http://www.onthesnow.com/pennsylvania/big-bear/ski-resort.html
241,Big Boulder,pennsylvania,2175,600,1700,0,0,0,0,0,2,5,1,8,16,8,,55,55,76,95,1,55,,,72,50,http://www.onthesnow.com/pennsylvania/big-boulder/ski-resort.html
242,Blue Knob,pennsylvania,3146,1072,2074,0,0,0,0,0,2,2,2,6,34,1,2,100,84,87,105,1,42,,,56,120,http://www.onthesnow.com/pennsylvania/blue-knob/ski-resort.html
243,Blue Mountain Resort,pennsylvania,1600,1082,460,0,0,1,1,1,1,3,9,16,39,5,1.2,164,164,122,112,1,164,,,42,33,http://www.onthesnow.com/pennsylvania/blue-mountain-ski-area/ski-resort.html
244,Camelback Mountain Resort,pennsylvania,2100,800,1250,0,0,0,2,0,3,5,6,16,37,5,1,166,166,100,100,1,160,,,56,50,http://www.onthesnow.com/pennsylvania/camelback-mountain-resort/ski-resort.html
245,Eagle Rock,pennsylvania,1810,550,1260,0,0,0,0,0,0,3,0,3,14,1,1,,0,,40,0,,,,47,,http://www.onthesnow.com/pennsylvania/eagle-rock/ski-resort.html
246,Elk Mountain Ski Resort,pennsylvania,2693,1000,1693,0,0,0,0,1,0,5,1,7,27,2,0.7,180,146,,100,1,90,,,60,60,http://www.onthesnow.com/pennsylvania/elk-mountain-ski-resort/ski-resort.html
247,Jack Frost,pennsylvania,2000,600,1400,0,0,0,0,1,2,5,1,9,20,1,1,100,100,96,105,0,,,,47,50,http://www.onthesnow.com/pennsylvania/jack-frost/ski-resort.html
248,Liberty,pennsylvania,1190,620,570,0,0,0,0,5,0,0,3,8,16,3,1,100,100,107,97,1,100,,,54,31,http://www.onthesnow.com/pennsylvania/liberty/ski-resort.html
249,Mount Pleasant of Edinboro,pennsylvania,1540,340,1200,0,0,0,0,0,1,0,1,2,10,0,0.5,40,35,75,90,1,35,,,48,100,http://www.onthesnow.com/pennsylvania/mount-pleasant-of-edinboro/ski-resort.html
250,Roundtop Mountain Resort,pennsylvania,1400,600,800,0,0,0,0,3,2,0,3,8,20,2,0.4,103,103,,99,1,100,,,55,30,http://www.onthesnow.com/pennsylvania/roundtop-mountain-resort/ski-resort.html
251,Seven Springs,pennsylvania,2994,750,2240,0,0,2,0,3,5,0,4,14,33,7,1.2,285,285,99,115,1,200,,,87,135,http://www.onthesnow.com/pennsylvania/seven-springs/ski-resort.html
252,Shawnee Mountain Ski Area,pennsylvania,1350,700,650,0,0,0,1,1,0,4,4,10,23,2,1.6,125,125,100,122,1,120,,,44,50,http://www.onthesnow.com/pennsylvania/shawnee-mountain-ski-area/ski-resort.html
253,Ski Sawmill,pennsylvania,2215,515,1700,0,0,0,0,0,1,1,3,5,14,1,0.1,15,13,,90,1,15,,,50,24,http://www.onthesnow.com/pennsylvania/ski-sawmill/ski-resort.html
254,Montage Mountain,pennsylvania,1960,1000,960,0,0,0,0,1,3,1,2,7,26,1,1.2,140,140,60,90,1,140,,,35,47,http://www.onthesnow.com/pennsylvania/sno-mountain/ski-resort.html
255,Spring Mountain Ski Area,pennsylvania,528,450,78,0,0,0,0,0,1,3,2,6,9,1,0.2,45,45,100,100,1,45,,,56,20,http://www.onthesnow.com/pennsylvania/spring-mountain-ski-area/ski-resort.html
256,Tussey Mountain,pennsylvania,1750,520,1230,0,0,0,0,1,0,1,3,5,8,1,0.3,38,30,100,100,1,30,,,39,41,http://www.onthesnow.com/pennsylvania/tussey-mountain/ski-resort.html
257,Whitetail Resort,pennsylvania,1800,935,865,0,0,0,1,3,0,2,2,8,23,2,1,120,120,116,100,1,120,,,28,40,http://www.onthesnow.com/pennsylvania/whitetail-resort/ski-resort.html
258,Yawgoo Valley,rhode_island,315,245,70,0,0,0,0,0,0,2,2,4,13,1,0.2,30,30,100,100,1,30,,,54,40,http://www.onthesnow.com/rhode-island/yawgoo-valley/ski-resort.html
259,Deer Mountain Ski Resort,south_dakota,6850,940,6040,0,0,0,0,0,1,1,2,4,63,2,1.6,500,50,69,81,0,,,,51,200,http://www.onthesnow.com/south-dakota/ski-mystic-at-deer-mountain/ski-resort.html
260,Terry Peak Ski Area,south_dakota,7100,1100,5900,0,0,0,3,0,1,0,1,5,30,1,1.2,450,225,114,120,0,,,,65,150,http://www.onthesnow.com/south-dakota/terry-peak-ski-area/ski-resort.html
261,Ober Gatlinburg Ski Resort,tennessee,3300,600,2700,0,0,0,0,2,0,1,1,4,10,1,1,,0,83,94,0,,,,44,35,http://www.onthesnow.com/tennessee/ober-gatlinburg-ski-resort/ski-resort.html
262,Alta Ski Area,utah,11068,2538,8530,0,0,0,3,0,1,2,0,6,116,0,1.3,2614,140,150,140,0,,,,81,545,http://www.onthesnow.com/utah/alta-ski-area/ski-resort.html
